-0.64,0.2048,-8.66E-04,4.83E-06
-0.65,0.2073,-8.68E-04,4.45E-06
-0.66,0.2099,-8.71E-04,4.06E-06
-0.67,0.2126,-8.73E-04,3.68E-06
-0.68,0.2155,-8.75E-04,3.29E-06
-0.69,0.2186,-8.77E-04,2.90E-06
-0.7,0.2219,-8.79E-04,2.52E-06
-0.71,0.2253,-8.80E-04,2.13E-06
-0.72,0.229,-8.82E-04,1.75E-06
-0.73,0.2329,-8.83E-04,1.36E-06
-0.74,0.237,-8.85E-04,9.74E-07
-0.75,0.2414,-8.86E-04,5.88E-07
-0.76,0.246,-8.87E-04,2.02E-07
-0.77,0.2509,-8.88E-04,0.00E+00
-0.78,0.256,-8.89E-04,0.00E+00
-0.79,0.2615,-8.89E-04,0.00E+00
-0.8,0.2673,-8.90E-04,0.00E+00
-0.81,0.2734,-8.91E-04,0.00E+00
-0.82,0.2798,-8.91E-04,0.00E+00
-0.83,0.2866,-8.92E-04,0.00E+00
-0.84,0.2937,-8.92E-04,0.00E+00
-0.85,0.3012,-8.93E-04,0.00E+00
-0.86,0.309,-8.93E-04,0.00E+00
-0.87,0.3172,-8.93E-04,0.00E+00
-0.88,0.3256,-8.93E-04,0.00E+00
-0.89,0.3344,-8.93E-04,0.00E+00
-0.9,0.3433,-8.94E-04,0.00E+00
-0.91,0.3524,-8.94E-04,0.00E+00
-0.92,0.3615,-8.94E-04,0.00E+00
-0.93,0.3705,-8.94E-04,0.00E+00
-0.94,0.3791,-8.94E-04,0.00E+00
-0.95,0.3872,-8.94E-04,0.00E+00
-0.96,0.3945,-8.94E-04,0.00E+00
-0.97,0.4007,-8.94E-04,0.00E+00
-0.98,0.4056,-8.94E-04,0.00E+00
-0.99,0.4088,-8.94E-04,0.00E+00
-1,0.41,-8.94E-04,0.00E+00
0,0.1728,-6.21E-04,0.00E+00
-0.01,0.1735,-6.54E-04,4.50E-05
-0.02,0.1742,-6.88E-04,4.50E-05
-0.03,0.1749,-7.24E-04,4.50E-05
-0.04,0.1755,-7.62E-04,4.50E-05
-0.05,0.1761,-8.01E-04,4.50E-05
-0.06,0.1767,-8.41E-04,4.50E-05
-0.07,0.1772,-8.82E-04,4.50E-05
-0.08,0.1777,-9.24E-04,4.50E-05
-0.09,0.1782,-9.65E-04,4.50E-05
-0.1,0.1787,-1.01E-03,4.50E-05
-0.11,0.1791,-1.05E-03,4.50E-05
-0.12,0.1795,-1.09E-03,4.50E-05
-0.13,0.1798,-1.13E-03,4.50E-05
-0.14,0.1801,-1.17E-03,4.50E-05
-0.15,0.1804,-1.21E-03,4.50E-05
-0.16,0.1806,-1.25E-03,4.46E-05
-0.17,0.1808,-1.28E-03,4.38E-05
-0.18,0.1809,-1.32E-03,4.31E-05
-0.19,0.1811,-1.35E-03,4.24E-05
-0.2,0.1811,-1.37E-03,4.17E-05
-0.21,0.1812,-1.40E-03,4.09E-05
-0.22,0.1812,-1.42E-03,4.02E-05
-0.23,0.1812,-1.44E-03,3.95E-05
-0.24,0.1811,-1.46E-03,3.87E-05
-0.25,0.1811,-1.47E-03,3.80E-05
-0.26,0.181,-1.48E-03,3.73E-05
-0.27,0.1808,-1.48E-03,3.65E-05
-0.28,0.1807,-1.48E-03,3.58E-05
-0.29,0.1805,-1.48E-03,3.51E-05
-0.3,0.1804,-1.47E-03,3.44E-05
-0.31,0.1802,-1.46E-03,3.36E-05
-0.32,0.1801,-1.45E-03,3.29E-05
-0.33,0.1799,-1.44E-03,3.22E-05
-0.34,0.1798,-1.42E-03,3.14E-05
-0.35,0.1797,-1.40E-03,3.07E-05
-0.36,0.1796,-1.37E-03,3.00E-05
-0.37,0.1795,-1.35E-03,2.93E-05
-0.38,0.1795,-1.32E-03,2.85E-05
